ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,school_holiday,school_holiday_lower,school_holiday_upper,state_holiday,state_holiday_lower,state_holiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-02,4982.885057448273,3811.9735836616564,7155.0252117723585,4982.885057448273,4982.885057448273,497.1494742391805,497.1494742391805,497.1494742391805,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-265.7842282004389,-265.7842282004389,-265.7842282004389,346.74203798232674,346.74203798232674,346.74203798232674,0.0,0.0,0.0,5480.034531687454
2013-01-03,4981.601882452716,3531.6340018299043,6799.929183701665,4981.601882452716,4981.601882452716,288.74624283590083,288.74624283590083,288.74624283590083,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-362.0918193022823,-362.0918193022823,-362.0918193022823,234.64639768089046,234.64639768089046,234.64639768089046,0.0,0.0,0.0,5270.348125288618
2013-01-04,4980.31870745716,3649.33937501245,6944.492605396604,4980.31870745716,4980.31870745716,428.66298908384226,428.66298908384226,428.66298908384226,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-119.27561015445943,-119.27561015445943,-119.27561015445943,131.746934781009,131.746934781009,131.746934781009,0.0,0.0,0.0,5408.981696541002
2013-01-05,4979.035532461603,4151.804140265854,7362.314008265004,4979.035532461603,4979.035532461603,728.338712095089,728.338712095089,728.338712095089,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,273.09148471894525,273.09148471894525,273.09148471894525,39.055562918851095,39.055562918851095,39.055562918851095,0.0,0.0,0.0,5707.374244556692
2013-01-07,4976.4691824704905,4031.9640076896917,7105.422154585461,4976.4691824704905,4976.4691824704905,653.2389591025219,653.2389591025219,653.2389591025219,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,349.82288763925106,349.82288763925106,349.82288763925106,-112.77559299402178,-112.77559299402178,-112.77559299402178,0.0,0.0,0.0,5629.708141573013
2013-01-08,4975.186007474934,3479.6726110271243,6700.2720379369475,4975.186007474934,4975.186007474934,96.65396411560904,96.65396411560904,96.65396411560904,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-148.50063273399252,-148.50063273399252,-148.50063273399252,-171.03706760769117,-171.03706760769117,-171.03706760769117,0.0,0.0,0.0,5071.8399715905425
2013-01-09,4973.902832479377,3269.8751390809457,6616.087403395556,4973.902832479377,4973.902832479377,-66.93062938052745,-66.93062938052745,-66.93062938052745,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-265.784228200118,-265.784228200118,-265.784228200118,-217.33806563770213,-217.33806563770213,-217.33806563770213,0.0,0.0,0.0,4906.97220309885
2013-01-10,4972.61965748382,3122.104211551511,6389.990233292924,4972.61965748382,4972.61965748382,-197.72516921411696,-197.72516921411696,-197.72516921411696,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-362.0918193013111,-362.0918193013111,-362.0918193013111,-251.82501437009864,-251.82501437009864,-251.82501437009864,0.0,0.0,0.0,4774.894488269703
2013-01-11,4971.336482488264,3366.91715588155,6695.409690073999,4971.336482488264,4971.336482488264,22.051920142203357,22.051920142203357,22.051920142203357,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-119.27561015368077,-119.27561015368077,-119.27561015368077,-274.8641341614085,-274.8641341614085,-274.8641341614085,0.0,0.0,0.0,4993.388402630467
2013-01-12,4970.053307492707,3288.503535466649,6666.326302579952,4970.053307492707,4970.053307492707,-13.934500772551232,-13.934500772551232,-13.934500772551232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.09148471873823,273.09148471873823,273.09148471873823,-287.0259854912895,-287.0259854912895,-287.0259854912895,0.0,0.0,0.0,4956.118806720156
2013-01-14,4967.4869575015955,3370.7026794024487,6637.611645960281,4967.4869575015955,4967.4869575015955,67.9222236825049,67.9222236825049,67.9222236825049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.8228876395632,349.8228876395632,349.8228876395632,-281.9006639570582,-281.9006639570582,-281.9006639570582,0.0,0.0,0.0,5035.409181184101
2013-01-15,4966.203782506039,2913.0897586776896,6261.374191754023,4966.203782506039,4966.203782506039,-415.0833460556575,-415.0833460556575,-415.0833460556575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.50063273416654,-148.50063273416654,-148.50063273416654,-266.5827133214909,-266.5827133214909,-266.5827133214909,0.0,0.0,0.0,4551.120436450381
2013-01-16,4964.920607510482,2859.923563010258,6142.167738628536,4964.920607510482,4964.920607510482,-510.0557543691682,-510.0557543691682,-510.0557543691682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265.7842281997971,-265.7842281997971,-265.7842281997971,-244.27152616937119,-244.27152616937119,-244.27152616937119,0.0,0.0,0.0,4454.864853141314
2013-01-17,4963.637432514925,2622.619662784167,6058.090141257229,4963.637432514925,4963.637432514925,-578.2957934126671,-578.2957934126671,-578.2957934126671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-362.0918193017584,-362.0918193017584,-362.0918193017584,-216.2039741109086,-216.2039741109086,-216.2039741109086,0.0,0.0,0.0,4385.341639102258
2013-01-18,4962.354257519369,2946.052465592516,6362.522758456954,4962.354257519369,4962.354257519369,-302.93939154767173,-302.93939154767173,-302.93939154767173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.2756101542489,-119.2756101542489,-119.2756101542489,-183.66378139342285,-183.66378139342285,-183.66378139342285,0.0,0.0,0.0,4659.414865971697
2013-01-19,4961.071082523812,3468.270395173945,6630.796812706846,4961.071082523812,4961.071082523812,125.14043159189053,125.14043159189053,125.14043159189053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.09148471905854,273.09148471905854,273.09148471905854,-147.95105312716802,-147.95105312716802,-147.95105312716802,0.0,0.0,0.0,5086.211514115703
2013-01-21,4958.5047325327,3515.8843716743963,6782.5967816860075,4958.5047325327,4958.5047325327,277.70928049744185,277.70928049744185,277.70928049744185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.8228876393822,349.8228876393822,349.8228876393822,-72.11360714194036,-72.11360714194036,-72.11360714194036,0.0,0.0,0.0,5236.214013030141
2013-01-22,4957.221557537143,3168.546641239923,6470.288089418381,4957.221557537143,4957.221557537143,-182.91235789717857,-182.91235789717857,-182.91235789717857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.50063273465923,-148.50063273465923,-148.50063273465923,-34.411725162519325,-34.411725162519325,-34.411725162519325,0.0,0.0,0.0,4774.309199639964
2013-01-23,4955.938382541586,3096.256916167995,6234.543651611075,4955.938382541586,4955.938382541586,-264.11764017333377,-264.11764017333377,-264.11764017333377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265.78422820028754,-265.78422820028754,-265.78422820028754,1.6665880269537474,1.6665880269537474,1.6665880269537474,0.0,0.0,0.0,4691.8207423682525
2013-01-24,4954.6552075460295,3105.5896632044546,6221.813974011084,4954.6552075460295,4954.6552075460295,-326.94555802265586,-326.94555802265586,-326.94555802265586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-362.09181930204994,-362.09181930204994,-362.09181930204994,35.14626127939405,35.14626127939405,35.14626127939405,0.0,0.0,0.0,4627.709649523374
2013-01-25,4953.372032550473,3332.0165328696853,6479.739149878009,4953.372032550473,4953.372032550473,-54.095210909586186,-54.095210909586186,-54.095210909586186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.27561015417785,-119.27561015417785,-119.27561015417785,65.1803992445917,65.1803992445917,65.1803992445917,0.0,0.0,0.0,4899.276821640887
2013-01-26,4952.088857554918,3709.536622451343,6957.021649181601,4952.088857554918,4952.088857554918,364.15472527711563,364.15472527711563,364.15472527711563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0914847193788,273.0914847193788,273.0914847193788,91.06324055773678,91.06324055773678,91.06324055773678,0.0,0.0,0.0,5316.243582832034
2013-01-28,4949.5225075638045,3820.5687044056685,7116.91405323213,4949.5225075638045,4949.5225075638045,478.1303656283083,478.1303656283083,478.1303656283083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.82288763969433,349.82288763969433,349.82288763969433,128.30747798861395,128.30747798861395,128.30747798861395,0.0,0.0,0.0,5427.652873192113
2013-01-29,4948.239332568248,3386.0182963170564,6546.163861134562,4948.239332568248,4948.239332568248,-9.476986956984685,-9.476986956984685,-9.476986956984685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.5006327341543,-148.5006327341543,-148.5006327341543,139.02364577716963,139.02364577716963,139.02364577716963,0.0,0.0,0.0,4938.762345611263
2013-01-30,4946.956157572691,3198.8160022792995,6436.944724528683,4946.956157572691,4946.956157572691,-121.48814655223883,-121.48814655223883,-121.48814655223883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265.78422819996655,-265.78422819996655,-265.78422819996655,144.29608164772773,144.29608164772773,144.29608164772773,0.0,0.0,0.0,4825.468011020453
2013-01-31,4945.672982577135,3491.685918091265,6706.837392353446,4945.672982577135,4945.672982577135,198.27961833687064,198.27961833687064,198.27961833687064,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-362.0918193024973,-362.0918193024973,-362.0918193024973,144.1797731820752,144.1797731820752,144.1797731820752,0.0,0.0,0.0,5143.952600914006
2013-02-01,4944.389806905759,3804.3780492835544,7020.780798781635,4944.389806905759,4944.389806905759,435.7825048180819,435.7825048180819,435.7825048180819,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-119.27561015410687,-119.27561015410687,-119.27561015410687,138.8664505148961,138.8664505148961,138.8664505148961,0.0,0.0,0.0,5380.172311723841
2013-02-02,4943.106631234381,3665.9017480352572,6897.28809304628,4943.106631234381,4943.106631234381,401.7633916455186,401.7633916455186,401.7633916455186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0914847191333,273.0914847191333,273.0914847191333,128.67190692638528,128.67190692638528,128.67190692638528,0.0,0.0,0.0,5344.8700228799
2013-02-04,4940.540279891628,4175.029856474802,7498.784363783425,4940.540279891628,4940.540279891628,861.4447194469955,861.4447194469955,861.4447194469955,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,349.82288763951715,349.82288763951715,349.82288763951715,95.4301673501857,95.4301673501857,95.4301673501857,0.0,0.0,0.0,5801.984999338624
2013-02-05,4939.257104220252,3697.5904421014175,6944.398040821194,4939.257104220252,4939.257104220252,341.18104511041525,341.18104511041525,341.18104511041525,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-148.5006327343283,-148.5006327343283,-148.5006327343283,73.49001338745086,73.49001338745086,73.49001338745086,0.0,0.0,0.0,5280.438149330667
2013-02-06,4937.973928548874,3521.244437932922,6634.755727079595,4937.973928548874,4937.973928548874,199.25258772565323,199.25258772565323,199.25258772565323,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,416.1916644572927,0.0,0.0,0.0,-265.78422820021615,-265.78422820021615,-265.78422820021615,48.84515146857668,48.84515146857668,48.84515146857668,0.0,0.0,0.0,5137.226516274527
